SegmentsId,ObservationTime
1208035,[['11:03:00', '11:13:00']]
1208036,[['11:03:00', '11:13:00']]
1208037,[['11:03:00', '11:13:00']]
1208038,[['11:03:00', '11:13:00']]
1324043,[['11:03:00', '11:23:00']]
1518207,[['11:03:00', '11:13:00']]
1518208,[['11:03:00', '11:13:00']]
1794892,[['11:03:00', '11:08:00']]
1923143,[['11:03:00']]
2147753,[['11:03:00', '11:08:00']]
1518200,[['11:08:00', '11:13:00']]
1518199,[['11:08:00', '11:13:00']]
1324990,[['11:08:00', '11:23:00']]
1312527,[['11:08:00', '11:28:00']]
522052,[['11:08:00', '11:18:00'], ['16:58:00', '17:23:00']]
393678,[['11:08:00', '11:28:00']]
336105,[['11:08:00', '11:28:00']]
255714,[['11:08:00', '11:28:00']]
70690,[['11:13:00', '11:28:00']]
318300,[['11:18:00', '11:38:00'], ['23:29:00', '23:53:00']]
222056,[['11:18:00', '11:23:00']]
3788069,[['11:18:00', '11:38:00']]
3321667,[['11:18:00']]
416974,[['11:18:00', '11:23:00']]
347043,[['11:23:00', '11:43:00']]
1804191,[['11:23:00']]
1549194,[['11:23:00']]
1413936,[['11:23:00', '11:43:00']]
1075926,[['11:23:00', '11:43:00']]
1046205,[['11:23:00', '11:43:00']]
1046204,[['11:23:00', '11:43:00']]
918312,[['11:23:00', '11:43:00']]
915242,[['11:23:00']]
1999247,[['11:23:00', '11:38:00']]
193768,[['11:23:00', '11:43:00']]
47411,[['11:23:00', '11:33:00']]
5299,[['11:23:00', '11:43:00']]
3188091,[['11:23:00']]
178729,[['11:28:00', '11:48:00']]
178730,[['11:28:00', '11:48:00']]
289878,[['11:28:00', '11:48:00']]
295771,[['11:28:00'], ['15:43:00', '16:04:00']]
343983,[['11:28:00', '11:38:00']]
358183,[['11:28:00', '11:48:00']]
467205,[['11:28:00', '11:48:00']]
505096,[['11:28:00']]
511402,[['11:28:00', '11:43:00']]
942716,[['11:28:00', '11:38:00']]
1196817,[['11:28:00', '11:48:00']]
1196818,[['11:28:00', '11:48:00']]
1793353,[['11:28:00', '11:48:00']]
1797073,[['11:28:00', '11:33:00']]
1994336,[['11:28:00', '11:48:00']]
4068640,[['11:28:00', '11:48:00']]
4134111,[['11:33:00', '11:53:00']]
3540168,[['11:33:00', '11:53:00']]
3540167,[['11:33:00', '11:53:00']]
2591861,[['11:33:00']]
2586302,[['11:33:00']]
1454048,[['11:33:00', '11:38:00']]
233190,[['11:33:00']]
53778,[['11:33:00', '11:53:00']]
53777,[['11:33:00', '11:53:00']]
1991945,[['11:38:00', '12:03:00']]
1734666,[['11:38:00', '11:58:00']]
1072950,[['11:38:00', '12:03:00']]
632725,[['11:38:00', '12:03:00']]
445387,[['11:38:00', '12:03:00']]
358859,[['11:38:00', '12:03:00']]
230826,[['11:38:00', '11:48:00']]
227450,[['11:38:00']]
